"ont"	"label"	"sample"	"dataset"
"CL:0000624"	"CD4+ T-cells"	"CD4.positive..alpha.beta.thymocyte"	"Blueprint-Encode"
"CL:0000625"	"CD8+ T-cells"	"CD8.positive..alpha.beta.thymocyte"	"Blueprint-Encode"
"CL:0000786"	"Plasma cells"	"plasma.cell"	"Blueprint-Encode"
"CL:0000786"	"Plasma cells"	"plasma.cell.1"	"Blueprint-Encode"
"CL:0000786"	"Plasma cells"	"plasma.cell.2"	"Blueprint-Encode"
"CL:0000786"	"Plasma cells"	"plasma.cell.3"	"Blueprint-Encode"
"CL:0000138"	"Chondrocytes"	"articular.chondrocyte.of.knee.joint"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"pericardium.fibroblast"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"smooth.muscle.cell.of.the.umbilical.artery"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"smooth.muscle.cell.of.trachea"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"epithelial.cell.of.proximal.tubule"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"fibroblast.of.dermis"	"Blueprint-Encode"
"CL:0000148"	"Melanocytes"	"melanocyte.of.skin"	"Blueprint-Encode"
"CL:0000188"	"Skeletal muscle"	"skeletal.muscle.tissue"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"renal.cortical.epithelial.cell"	"Blueprint-Encode"
"CL:0000312"	"Keratinocytes"	"hair.follicular.keratinocyte"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"fibroblast.of.arm"	"Blueprint-Encode"
"CL:0000148"	"Melanocytes"	"melanocyte.of.skin.1"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"dermis.microvascular.lymphatic.vessel.endothelial.cell"	"Blueprint-Encode"
"CL:0000837"	"MPP"	"hematopoietic.multipotent.progenitor.cell.3"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"fibroblast.of.the.aortic.adventitia"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"bronchus.fibroblast.of.lung"	"Blueprint-Encode"
"CL:0000138"	"Chondrocytes"	"articular.chondrocyte.of.knee.joint.1"	"Blueprint-Encode"
"CL:2000008"	"mv Endothelial cells"	"lung.microvascular.endothelial.cell"	"Blueprint-Encode"
"CL:2000008"	"mv Endothelial cells"	"mammary.microvascular.endothelial.cell"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"kidney.epithelial.cell"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"fibroblast.of.arm.1"	"Blueprint-Encode"
"CL:0000148"	"Melanocytes"	"melanocyte.of.skin.2"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"smooth.muscle.cell.of.the.pulmonary.artery"	"Blueprint-Encode"
"CL:0000187"	"Myocytes"	"regular.cardiac.myocyte"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"renal.cortical.epithelial.cell.1"	"Blueprint-Encode"
"CL:2000008"	"mv Endothelial cells"	"lung.microvascular.endothelial.cell.1"	"Blueprint-Encode"
"CL:0000187"	"Myocytes"	"regular.cardiac.myocyte.1"	"Blueprint-Encode"
"CL:0000066"	"Epithelial cells"	"tracheal.epithelial.cell"	"Blueprint-Encode"
"CL:0000115"	"Endothelial cells"	"endothelial.cell.of.coronary.artery"	"Blueprint-Encode"
"CL:0000136"	"Adipocytes"	"adipose.tissue.of.omentum"	"Blueprint-Encode"
"CL:2000008"	"mv Endothelial cells"	"bladder.microvascular.endothelial.cell"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"cardiac.atrium.fibroblast"	"Blueprint-Encode"
"CL:0000188"	"Skeletal muscle"	"skeletal.muscle.tissue.1"	"Blueprint-Encode"
"CL:0000057"	"Fibroblasts"	"fibroblast.of.villous.mesenchyme"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"smooth.muscle.cell.of.the.coronary.artery"	"Blueprint-Encode"
"CL:0000192"	"Smooth muscle"	"smooth.muscle.cell.of.the.pulmonary.artery.1"	"Blueprint-Encode"
