NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	Tregs	CD4+ Tcm	CD4+ Tem	CD8+ Tcm	CD8+ Tem	NK cells	naive B-cells	Memory B-cells	Class-switched memory B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	DC	Eosinophils	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
MOB1B	1	8.795	4.175	6.88	2.32	2.07	1.38	2	3.38	3.77	2.655	1.75	1.87	7.83	6.685	10.3	5.71	10.955	6.3	9.58	46.69	6.67	9.15	12.275	6.41	88.28	1.81	1.62	6.44	3.825	3.895	5.385	6.195	3.2	5.975	3.815	6.58	3.9	6.83	3.93	2.59	4.045	3.88
MOB3A	97.18	46.46	9.37	6.97	16.19	10.42	8.63	15.98	15.91	25.63	19.9	14.08	13.76	9.8	14.33	5.71	12.1	17.245	7.94	4.65	13.78	13.04	7.4	6.27	9.565	30.03	291.57	21.9	7.735	15.97	7.2	15.86	6.07	4.17	25.675	20.62	6.385	10.77	1	13.85	19.69	19.415	25.955
MOB3B	1	1.41	1	1	1	1	1	1	1	1	5.695	4.21	2.34	1	1	1	1	2.045	1	5.55	1	1	1.46	3.115	1	3.79	1	1	1	1	1	1	2.275	1	7.595	1	1	3.13	2.465	1	1	1	1
MOCOS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11.19	1	1	3.95	2.435	1.91	4.955	18.455	1	4.83	1.5	2.29	1.65	1	4.585	3.355	2.62	5.57
MOCS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.785	1	1.95	1	8.975	4.795	4.13	3.575	4.695	8.5	3.91	3.045	7.395	21.16	1.935	4.02	3.865	4.235	6.44
MOCS2	1	3.965	13.885	11.84	6.43	7.43	6.41	6.52	7.32	7.37	4.265	6.33	4.44	18.09	17.78	14.48	16.36	10.76	7.38	18.49	9.1	5.6	12.25	16.55	10.55	3.05	1	3.78	20.82	19.74	11.085	15.93	12.885	11.33	32.955	16.105	20.305	11.08	170.4	11.655	12.985	51.43	11.705
MOGAT1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.955	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MOGS	5.13	7.125	5.88	20.75	16.15	19.04	15.42	14.61	22.62	23.83	15	15.52	10.71	1.285	5.79	2.76	3.29	22.945	18.91	2.14	2.08	24.29	15.9	20.36	20.405	16.58	33.42	65.415	9.545	15.83	21.61	30.845	11.62	7.39	57.835	28.63	15.44	8.04	1.47	24.51	11.62	67.72	36.005
MOK	1.6	1	4.745	1.19	1	1	1	1	1.12	1	1.11	1	1	4.53	5.79	1.54	6.26	1.22	1	1.55	1	1.88	1	1.445	1.87	1	1	1	7.63	9.105	2.945	2.735	29.36	1	15.515	1.52	18.325	2.5	15.485	5.52	6.19	15.455	4.88
MORC2-AS1	1	1	20.15	1	1	1	1	1	1	1	1	1	1	13.08	6.17	1.02	20.85	1	1	1.18	5.15	1.41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MORC4	1	1	1	6.66	3.43	4.61	3.35	2.71	3.28	1.57	1.955	1.33	1	1	1	1	1	1	1.06	1	1	1	1	1.48	5.25	1	1	1.875	15.05	9.71	13.66	8.235	4.175	2.26	8.975	4.815	12.33	5.22	1	17.77	7.325	17.9	6.365
